Frequency [GHz],Electric Dipole Moment normalized (m_e) [V·m],Magnetic Dipole Moment (m_m) [V·m]
0.001,1.0589574389230094e-05,0.0
0.104413793103448,0.0011053986998498778,0.0
0.207827586206897,0.0022006162881161246,0.0
0.311241379310345,0.003296637928367204,0.0
0.414655172413793,0.004393858327654099,0.0
0.518068965517241,0.005492666411494192,0.0
0.62148275862069,0.0065934444585988685,0.0
0.724896551724138,0.007696567933503787,0.0
0.828310344827586,0.008802406311878761,0.0
0.931724137931034,0.009911324799534079,0.0
1.03513793103448,0.011023687062989663,0.0
1.13855172413793,0.012139858845213673,0.0
1.24196551724138,0.013260212421205897,0.0
1.34537931034483,0.014385131733265801,0.0
1.44879310344828,0.015515018057829896,0.0
1.55220689655172,0.01665029601865632,0.0
1.65562068965517,0.01779141980545149,0.0
1.75903448275862,0.0189388794521284,0.0
1.8624482758620697,0.020093207132753175,0.0
1.96586206896552,0.021254983497418934,0.0
2.06927586206897,0.022424844236552898,0.0
2.17268965517241,0.023603487256463697,0.0
2.27610344827586,0.024791681115791678,0.0
2.37951724137931,0.025990275816650078,0.0
2.48293103448276,0.02720021763361496,0.0
2.58634482758621,0.0284225706330331,0.0
2.68975862068966,0.029658549134259776,0.0
2.7931724137931,0.030909568081154852,0.0
2.89658620689655,0.03217732315781991,0.0
3.0,0.03346392164568671,0.0
